evidence manifest refresh failed: docs/evidence/aggregate-claim-gates-2026-06-01.b3:2: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-red-blue-scoring-soak-live-refresh-2026-05-30.b3:20: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-survival-crafting-table-progress-2026-05-30.b3:7: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-wan-tolerance-bounded-telemetry-2026-05-29.b3:13: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/scenario-manifest-fallback-budget-2026-06-22.b3:12: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/scoreboard-team-packet-family-2026-06-06.b3:23: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/server-correlation-rail-2026-06-18.b3:17: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/survival-biome-dimension-travel-2026-06-21.b3:40: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/survival-container-block-entity-breadth-2026-06-21.b3:40: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/survival-crafting-recipe-breadth-2026-06-20.b3:37: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/survival-furnace-smelting-breadth-2026-06-21.b3:44: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/survival-mob-ai-loot-breadth-2026-06-21.b3:40: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/survival-redstone-circuit-breadth-2026-06-21.b3:40: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/survival-sign-editing-live-2026-06-21.b3:40: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/survival-world-multichunk-durability-2026-06-21.b3:40: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/targeted-packet-promotions-final-checks-2026-06-06.b3:5: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/targeted-packet-promotions-focused-checks-2026-06-06.b3:8: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
exit_status=1
